especie,luminosidad,humedad,temperatura,estado_salud
Orquídea (Orchidaceae),279.9,40.09,20.25,Moderate Stress
Orquídea (Orchidaceae),506.0,44.31,27.72,High Stress
Orquídea (Orchidaceae),852.93,55.84,23.39,Moderate Stress
Orquídea (Orchidaceae),867.7,56.63,22.6,Healthy
Orquídea (Orchidaceae),970.14,58.78,26.52,Moderate Stress
Orquídea (Orchidaceae),895.66,68.03,21.2,Healthy
Orquídea (Orchidaceae),906.45,62.5,24.64,High Stress
Orquídea (Orchidaceae),416.68,45.74,23.04,High Stress
Orquídea (Orchidaceae),945.04,60.16,18.39,Moderate Stress
Orquídea (Orchidaceae),680.71,48.73,22.42,Moderate Stress
Orquídea (Orchidaceae),299.23,56.89,29.41,Moderate Stress
Orquídea (Orchidaceae),847.32,44.47,23.44,High Stress
Orquídea (Orchidaceae),586.95,58.89,23.56,High Stress
Orquídea (Orchidaceae),547.3,51.24,23.0,Moderate Stress
Orquídea (Orchidaceae),723.16,68.01,24.3,Moderate Stress
Orquídea (Orchidaceae),809.91,66.92,22.6,Healthy
Orquídea (Orchidaceae),724.44,56.79,27.47,High Stress
Orquídea (Orchidaceae),315.06,62.53,18.17,Healthy
Orquídea (Orchidaceae),981.55,41.61,24.42,Moderate Stress
Orquídea (Orchidaceae),995.53,54.62,20.61,High Stress
Orquídea (Orchidaceae),448.03,60.33,18.01,Moderate Stress
Orquídea (Orchidaceae),595.6,44.89,18.39,Moderate Stress
Orquídea (Orchidaceae),411.92,50.78,23.86,Moderate Stress
Orquídea (Orchidaceae),425.33,48.07,25.76,Moderate Stress
Orquídea (Orchidaceae),824.33,49.21,24.6,High Stress
Orquídea (Orchidaceae),808.92,54.5,26.76,Moderate Stress
Orquídea (Orchidaceae),204.55,68.88,27.04,High Stress
Orquídea (Orchidaceae),928.93,44.06,29.9,High Stress
Orquídea (Orchidaceae),469.57,69.38,24.96,Moderate Stress
Orquídea (Orchidaceae),495.07,63.08,25.14,High Stress
Orquídea (Orchidaceae),661.47,66.02,18.6,Moderate Stress
Orquídea (Orchidaceae),899.24,62.06,25.33,Moderate Stress
Orquídea (Orchidaceae),852.73,53.68,28.02,Moderate Stress
Orquídea (Orchidaceae),470.08,58.41,28.49,High Stress
Orquídea (Orchidaceae),506.97,44.66,28.63,Moderate Stress
Orquídea (Orchidaceae),364.68,41.13,22.66,High Stress
Orquídea (Orchidaceae),884.78,69.64,26.34,Healthy
Orquídea (Orchidaceae),652.19,54.31,18.02,Healthy
Orquídea (Orchidaceae),587.12,41.39,26.8,Healthy
Orquídea (Orchidaceae),482.41,61.84,25.75,Moderate Stress
Orquídea (Orchidaceae),607.4,43.82,27.56,Healthy
Orquídea (Orchidaceae),596.3,59.76,20.66,Moderate Stress
Orquídea (Orchidaceae),468.31,53.55,27.93,Healthy
Orquídea (Orchidaceae),683.08,61.81,23.45,Healthy
Orquídea (Orchidaceae),268.73,61.28,22.81,High Stress
Orquídea (Orchidaceae),760.43,63.83,19.16,Moderate Stress
Orquídea (Orchidaceae),872.32,42.96,22.8,Healthy
Helecho (Pteridophyta),846.82,66.29,20.22,High Stress
Helecho (Pteridophyta),980.28,51.41,28.68,High Stress
Helecho (Pteridophyta),276.26,66.77,28.76,High Stress
Helecho (Pteridophyta),970.14,52.97,23.19,Moderate Stress
Helecho (Pteridophyta),997.48,43.78,27.81,High Stress
Helecho (Pteridophyta),953.6,60.52,22.53,Healthy
Helecho (Pteridophyta),832.48,59.31,22.05,High Stress
Helecho (Pteridophyta),257.72,44.45,29.85,Moderate Stress
Helecho (Pteridophyta),502.88,50.51,27.19,Moderate Stress
Helecho (Pteridophyta),579.28,61.8,24.39,Moderate Stress
Helecho (Pteridophyta),222.93,47.17,19.81,High Stress
Helecho (Pteridophyta),252.32,44.24,19.94,Moderate Stress
Helecho (Pteridophyta),325.93,44.52,18.84,Moderate Stress
Helecho (Pteridophyta),336.3,65.41,21.13,Healthy
Helecho (Pteridophyta),483.95,54.9,26.1,High Stress
Helecho (Pteridophyta),643.14,41.13,22.64,High Stress
Helecho (Pteridophyta),782.2,60.49,25.01,Moderate Stress
Helecho (Pteridophyta),912.64,46.55,29.37,Healthy
Helecho (Pteridophyta),757.66,66.72,26.67,High Stress
Helecho (Pteridophyta),404.99,46.92,28.03,Moderate Stress
Helecho (Pteridophyta),692.44,49.21,29.59,Healthy
Helecho (Pteridophyta),471.86,68.1,29.01,Healthy
Helecho (Pteridophyta),304.05,52.82,20.97,Healthy
Helecho (Pteridophyta),496.7,63.01,28.58,Moderate Stress
Helecho (Pteridophyta),950.35,52.11,20.97,High Stress
Helecho (Pteridophyta),243.17,46.26,24.45,High Stress
Helecho (Pteridophyta),430.66,56.62,24.04,Moderate Stress
Helecho (Pteridophyta),837.14,48.73,27.79,Healthy
Helecho (Pteridophyta),924.28,53.89,24.78,High Stress
Helecho (Pteridophyta),684.92,44.57,27.73,Healthy
Helecho (Pteridophyta),412.6,42.64,28.38,Moderate Stress
Helecho (Pteridophyta),494.23,48.0,22.12,Healthy
Helecho (Pteridophyta),386.28,59.99,27.1,Healthy
Helecho (Pteridophyta),977.2,67.12,19.03,High Stress
Helecho (Pteridophyta),843.58,52.11,27.77,Healthy
Helecho (Pteridophyta),714.6,61.06,22.72,Healthy
Helecho (Pteridophyta),833.15,54.95,29.05,High Stress
Helecho (Pteridophyta),625.22,47.82,27.87,Healthy
Helecho (Pteridophyta),737.98,57.95,25.54,High Stress
Helecho (Pteridophyta),664.92,61.94,26.91,Healthy
Helecho (Pteridophyta),247.85,47.44,21.37,High Stress
Helecho (Pteridophyta),624.27,59.31,29.97,High Stress
Helecho (Pteridophyta),580.53,69.28,21.64,Moderate Stress
Helecho (Pteridophyta),203.69,49.21,25.91,High Stress
Helecho (Pteridophyta),845.74,58.33,25.18,Moderate Stress
Helecho (Pteridophyta),466.54,67.95,22.98,Healthy
Helecho (Pteridophyta),414.96,62.28,26.9,High Stress
Helecho (Pteridophyta),452.92,44.86,23.89,Moderate Stress
Helecho (Pteridophyta),905.27,57.02,26.77,High Stress
Helecho (Pteridophyta),532.53,63.1,18.59,High Stress
Helecho (Pteridophyta),838.24,46.37,23.41,Moderate Stress
Helecho (Pteridophyta),272.11,50.84,19.23,Healthy
Helecho (Pteridophyta),257.72,69.17,28.19,Healthy
Helecho (Pteridophyta),327.24,41.89,27.85,High Stress
Helecho (Pteridophyta),238.49,49.87,20.49,High Stress
Helecho (Pteridophyta),658.86,57.37,22.4,Healthy
Helecho (Pteridophyta),329.18,66.26,19.24,Moderate Stress
Helecho (Pteridophyta),209.93,50.55,26.74,High Stress
Helecho (Pteridophyta),741.99,68.73,24.4,Moderate Stress
Helecho (Pteridophyta),792.51,64.72,22.54,Moderate Stress
Helecho (Pteridophyta),991.78,52.44,23.56,Healthy
Helecho (Pteridophyta),902.48,64.75,21.24,High Stress
Helecho (Pteridophyta),564.13,46.87,27.39,Healthy
Helecho (Pteridophyta),538.41,68.5,24.3,Healthy
Helecho (Pteridophyta),640.75,45.95,23.39,High Stress
Helecho (Pteridophyta),646.12,51.41,20.56,Moderate Stress
Helecho (Pteridophyta),974.54,46.12,22.33,Moderate Stress
Helecho (Pteridophyta),513.76,66.27,22.59,High Stress
Helecho (Pteridophyta),311.06,40.64,29.01,Moderate Stress
Helecho (Pteridophyta),481.77,41.19,21.43,High Stress
Helecho (Pteridophyta),838.58,51.42,20.81,High Stress
Helecho (Pteridophyta),373.92,40.85,24.35,High Stress
Helecho (Pteridophyta),925.03,68.55,25.87,High Stress
Helecho (Pteridophyta),549.28,67.82,25.69,High Stress
Helecho (Pteridophyta),411.64,41.09,28.69,High Stress
Helecho (Pteridophyta),915.17,45.1,23.85,High Stress
Helecho (Pteridophyta),604.22,42.02,23.9,High Stress
Helecho (Pteridophyta),373.75,47.88,27.51,Healthy
Helecho (Pteridophyta),812.73,42.56,21.38,Healthy
Helecho (Pteridophyta),361.4,68.15,18.77,High Stress
Helecho (Pteridophyta),218.4,52.68,28.49,High Stress
Helecho (Pteridophyta),856.53,58.3,25.64,High Stress
Helecho (Pteridophyta),874.15,43.45,18.88,Moderate Stress
Helecho (Pteridophyta),566.72,53.39,19.1,Healthy
Helecho (Pteridophyta),366.67,41.78,29.79,High Stress
Helecho (Pteridophyta),227.35,49.14,28.51,Healthy
Helecho (Pteridophyta),625.15,69.24,29.41,Healthy
Helecho (Pteridophyta),925.62,46.31,24.7,Moderate Stress
Helecho (Pteridophyta),209.54,41.37,28.1,Healthy
Helecho (Pteridophyta),839.05,57.38,25.6,High Stress
Helecho (Pteridophyta),689.94,68.92,18.12,Moderate Stress
Helecho (Pteridophyta),863.48,51.66,23.1,Healthy
Helecho (Pteridophyta),369.7,67.9,29.26,Healthy
Helecho (Pteridophyta),716.76,53.86,28.19,High Stress
Helecho (Pteridophyta),336.36,46.93,21.57,Moderate Stress
Helecho (Pteridophyta),305.78,54.73,18.93,Healthy
Helecho (Pteridophyta),955.51,41.66,29.81,Moderate Stress
Helecho (Pteridophyta),329.48,64.29,21.43,High Stress
Helecho (Pteridophyta),937.45,61.29,18.14,Moderate Stress
Helecho (Pteridophyta),235.06,41.19,25.11,High Stress
Helecho (Pteridophyta),587.56,64.06,28.66,Moderate Stress
Helecho (Pteridophyta),430.01,47.61,29.55,High Stress
Helecho (Pteridophyta),336.91,66.36,27.7,High Stress
Helecho (Pteridophyta),822.8,68.23,29.12,High Stress
Helecho (Pteridophyta),870.54,48.22,24.82,High Stress
Helecho (Pteridophyta),590.13,52.01,23.86,High Stress
Helecho (Pteridophyta),815.89,61.47,21.19,Moderate Stress
Helecho (Pteridophyta),934.32,52.88,18.78,Healthy
Helecho (Pteridophyta),727.99,44.12,22.0,Healthy
Helecho (Pteridophyta),497.77,41.56,24.49,High Stress
Helecho (Pteridophyta),770.18,57.15,20.65,High Stress
Helecho (Pteridophyta),273.06,56.68,26.41,Healthy
Helecho (Pteridophyta),675.85,69.32,26.74,Healthy
Helecho (Pteridophyta),762.74,56.18,25.89,Moderate Stress
Helecho (Pteridophyta),934.47,44.46,28.13,Moderate Stress
Helecho (Pteridophyta),551.03,64.71,26.26,Healthy
Helecho (Pteridophyta),934.67,41.14,23.31,High Stress
Helecho (Pteridophyta),245.02,44.85,20.19,High Stress
Helecho (Pteridophyta),687.64,45.49,29.33,High Stress
Helecho (Pteridophyta),587.25,46.24,19.77,Healthy
Cactus (Cactaceae),472.84,45.28,18.41,Healthy
Cactus (Cactaceae),559.16,47.63,25.7,Moderate Stress
Cactus (Cactaceae),370.36,48.35,25.03,Healthy
Cactus (Cactaceae),613.63,56.33,27.45,Moderate Stress
Cactus (Cactaceae),457.98,45.0,23.92,Moderate Stress
Cactus (Cactaceae),845.6,63.45,20.92,High Stress
Cactus (Cactaceae),287.88,45.58,27.12,Healthy
Cactus (Cactaceae),325.58,65.91,21.7,Moderate Stress
Cactus (Cactaceae),889.01,64.66,25.29,Moderate Stress
Cactus (Cactaceae),575.96,46.57,27.11,Moderate Stress
Cactus (Cactaceae),407.83,58.99,25.15,High Stress
Cactus (Cactaceae),655.64,52.58,28.35,Healthy
Cactus (Cactaceae),867.7,49.5,27.97,Moderate Stress
Cactus (Cactaceae),335.35,56.03,19.05,Healthy
Cactus (Cactaceae),531.19,41.97,20.94,Healthy
Cactus (Cactaceae),726.09,57.84,27.08,High Stress
Cactus (Cactaceae),789.87,68.33,29.84,Moderate Stress
Cactus (Cactaceae),201.74,51.95,27.41,Moderate Stress
Cactus (Cactaceae),505.45,61.47,21.88,Moderate Stress
Cactus (Cactaceae),913.27,56.19,18.08,High Stress
Cactus (Cactaceae),809.75,46.46,28.07,Moderate Stress
Cactus (Cactaceae),959.67,54.13,24.57,Moderate Stress
Cactus (Cactaceae),910.38,64.39,21.6,Moderate Stress
Cactus (Cactaceae),598.34,64.08,29.16,High Stress
Cactus (Cactaceae),792.77,69.01,21.45,Moderate Stress
Cactus (Cactaceae),815.11,66.84,25.94,High Stress
Cactus (Cactaceae),469.31,66.59,21.16,Healthy
Cactus (Cactaceae),401.46,47.19,23.6,Healthy
Cactus (Cactaceae),960.17,49.8,28.09,High Stress
Cactus (Cactaceae),289.96,60.3,27.39,High Stress
Cactus (Cactaceae),951.03,57.14,20.34,Healthy
Cactus (Cactaceae),992.07,57.92,20.86,Moderate Stress
Cactus (Cactaceae),669.26,44.23,21.83,Moderate Stress
Cactus (Cactaceae),942.64,54.82,19.62,Healthy
Cactus (Cactaceae),653.93,45.33,19.38,Moderate Stress
Cactus (Cactaceae),508.28,63.83,29.13,Healthy
Cactus (Cactaceae),872.48,57.75,20.2,High Stress
Cactus (Cactaceae),919.69,63.13,21.86,Healthy
Cactus (Cactaceae),656.71,54.86,19.55,Moderate Stress
Cactus (Cactaceae),400.48,61.11,21.63,Moderate Stress
Cactus (Cactaceae),559.76,53.1,23.8,Moderate Stress
Cactus (Cactaceae),334.64,53.43,18.67,High Stress
Cactus (Cactaceae),942.3,47.96,21.61,Moderate Stress
Cactus (Cactaceae),753.84,62.01,25.02,High Stress
Cactus (Cactaceae),398.74,51.85,24.04,Healthy
Cactus (Cactaceae),889.02,60.04,21.25,High Stress
Cactus (Cactaceae),819.53,69.81,29.41,Healthy
Cactus (Cactaceae),543.41,60.76,19.68,Moderate Stress
Cactus (Cactaceae),748.67,68.49,23.33,High Stress
Cactus (Cactaceae),272.65,50.52,26.58,Healthy
Cactus (Cactaceae),407.38,54.71,26.43,Moderate Stress
Cactus (Cactaceae),810.47,43.56,26.31,Healthy
Cactus (Cactaceae),701.91,53.83,28.2,Healthy
Cactus (Cactaceae),719.89,54.67,28.7,High Stress
Cactus (Cactaceae),443.32,47.39,22.9,High Stress
Cactus (Cactaceae),626.81,59.58,26.63,Healthy
Cactus (Cactaceae),813.05,41.09,26.42,High Stress
Cactus (Cactaceae),672.1,56.49,28.83,High Stress
Cactus (Cactaceae),823.19,43.9,26.57,Moderate Stress
Cactus (Cactaceae),987.3,65.41,26.72,Healthy
Cactus (Cactaceae),987.21,40.7,26.42,Moderate Stress
Cactus (Cactaceae),325.96,65.74,26.74,High Stress
Cactus (Cactaceae),705.62,66.12,22.21,High Stress
Cactus (Cactaceae),572.75,62.32,21.7,Moderate Stress
Cactus (Cactaceae),944.83,49.62,24.11,Healthy
Cactus (Cactaceae),693.13,46.52,21.8,Moderate Stress
Cactus (Cactaceae),999.15,61.35,27.59,High Stress
Cactus (Cactaceae),235.7,68.85,21.34,Healthy
Cactus (Cactaceae),973.43,44.2,24.4,Moderate Stress
Cactus (Cactaceae),953.52,61.48,27.4,High Stress
Cactus (Cactaceae),409.43,52.32,23.38,Healthy
Cactus (Cactaceae),920.42,52.16,23.37,High Stress
Cactus (Cactaceae),828.87,62.08,26.69,High Stress
Cactus (Cactaceae),348.18,44.89,20.75,Healthy
Cactus (Cactaceae),555.96,67.78,26.44,Moderate Stress
Cactus (Cactaceae),386.46,62.17,26.48,Healthy
Cactus (Cactaceae),277.28,48.54,28.04,High Stress
Cactus (Cactaceae),992.41,54.62,20.19,High Stress
Cactus (Cactaceae),761.59,58.88,19.91,Moderate Stress
Cactus (Cactaceae),214.47,45.78,24.9,Moderate Stress
Cactus (Cactaceae),702.62,67.09,19.14,Healthy
Cactus (Cactaceae),787.03,61.37,18.73,Healthy
Cactus (Cactaceae),449.94,53.38,25.28,Moderate Stress
Cactus (Cactaceae),590.73,53.86,21.03,High Stress
Cactus (Cactaceae),501.12,47.87,23.79,High Stress
Cactus (Cactaceae),978.34,47.26,20.14,Moderate Stress
Cactus (Cactaceae),742.27,44.9,21.41,High Stress
Cactus (Cactaceae),485.8,63.24,27.55,Moderate Stress
Cactus (Cactaceae),296.49,41.71,28.47,Healthy
Cactus (Cactaceae),232.56,52.42,22.38,Moderate Stress
Cactus (Cactaceae),699.51,61.93,18.88,High Stress
Cactus (Cactaceae),875.45,46.46,25.81,High Stress
Cactus (Cactaceae),741.89,68.46,20.71,Healthy
Cactus (Cactaceae),809.25,53.72,27.74,High Stress
Cactus (Cactaceae),678.84,57.34,27.35,High Stress
Cactus (Cactaceae),387.32,60.79,24.34,Healthy
Cactus (Cactaceae),981.95,43.8,21.84,High Stress
Cactus (Cactaceae),380.77,55.71,25.82,Healthy
Cactus (Cactaceae),403.84,40.51,29.38,Moderate Stress
Cactus (Cactaceae),372.25,48.03,18.97,Healthy
Cactus (Cactaceae),309.21,57.27,25.02,Healthy
Cactus (Cactaceae),226.9,68.38,28.05,High Stress
Cactus (Cactaceae),440.3,63.29,19.5,Moderate Stress
Cactus (Cactaceae),285.41,56.94,28.09,Healthy
Cactus (Cactaceae),281.77,69.44,29.31,Healthy
Cactus (Cactaceae),616.41,55.29,27.22,Healthy
Cactus (Cactaceae),472.69,55.73,27.65,High Stress
Cactus (Cactaceae),350.04,45.72,27.92,High Stress
Cactus (Cactaceae),425.25,46.35,28.42,Moderate Stress
Cactus (Cactaceae),510.39,56.9,27.91,Healthy
Cactus (Cactaceae),649.32,65.14,20.83,Moderate Stress
Cactus (Cactaceae),547.3,67.18,29.04,High Stress
Cactus (Cactaceae),673.51,42.87,24.98,Healthy
Cactus (Cactaceae),436.32,44.63,27.9,High Stress
Cactus (Cactaceae),483.89,53.22,29.18,High Stress
Cactus (Cactaceae),634.44,44.86,18.57,Healthy
Cactus (Cactaceae),919.83,52.06,21.89,High Stress
Cactus (Cactaceae),820.62,51.8,28.11,Healthy
Cactus (Cactaceae),786.98,44.25,21.96,High Stress
Cactus (Cactaceae),534.99,65.87,21.55,Moderate Stress
Girasol (Helianthus annuus),839.61,47.47,26.85,Healthy
Girasol (Helianthus annuus),549.6,67.35,24.26,High Stress
Girasol (Helianthus annuus),802.89,43.21,21.05,Moderate Stress
Girasol (Helianthus annuus),761.94,67.0,26.54,Healthy
Girasol (Helianthus annuus),750.65,65.17,25.15,Moderate Stress
Girasol (Helianthus annuus),486.35,53.34,23.1,Healthy
Girasol (Helianthus annuus),375.46,41.24,24.66,Moderate Stress
Girasol (Helianthus annuus),874.78,50.07,25.15,Moderate Stress
Girasol (Helianthus annuus),306.37,67.34,21.0,High Stress
Girasol (Helianthus annuus),583.05,62.18,29.31,Moderate Stress
Girasol (Helianthus annuus),769.36,50.07,24.89,Moderate Stress
Girasol (Helianthus annuus),534.5,47.07,27.6,Moderate Stress
Girasol (Helianthus annuus),588.76,57.87,19.99,Moderate Stress
Girasol (Helianthus annuus),501.15,40.42,26.01,High Stress
Girasol (Helianthus annuus),742.05,54.33,28.82,Healthy
Girasol (Helianthus annuus),991.24,67.9,19.95,Healthy
Girasol (Helianthus annuus),690.84,63.79,26.16,Moderate Stress
Girasol (Helianthus annuus),920.21,48.59,20.36,Moderate Stress
Girasol (Helianthus annuus),208.34,45.72,20.63,Healthy
Girasol (Helianthus annuus),819.12,41.0,18.22,High Stress
Girasol (Helianthus annuus),465.68,51.11,27.31,Healthy
Girasol (Helianthus annuus),239.69,42.05,28.09,High Stress
Girasol (Helianthus annuus),864.89,60.59,27.16,Healthy
Girasol (Helianthus annuus),422.27,54.64,28.66,Moderate Stress
Girasol (Helianthus annuus),246.49,62.78,22.54,High Stress
Girasol (Helianthus annuus),362.72,46.26,21.58,Healthy
Girasol (Helianthus annuus),932.82,56.25,26.63,Moderate Stress
Girasol (Helianthus annuus),818.37,64.56,23.05,Moderate Stress
Girasol (Helianthus annuus),910.67,42.43,21.52,Moderate Stress
Girasol (Helianthus annuus),949.64,41.85,28.41,Moderate Stress
Girasol (Helianthus annuus),725.83,40.03,28.76,Moderate Stress
Girasol (Helianthus annuus),929.61,47.5,18.71,High Stress
Girasol (Helianthus annuus),482.29,40.9,20.72,High Stress
Girasol (Helianthus annuus),760.3,40.31,29.78,High Stress
Girasol (Helianthus annuus),685.81,69.09,21.79,Moderate Stress
Girasol (Helianthus annuus),794.4,45.59,18.48,Moderate Stress
Girasol (Helianthus annuus),768.22,50.63,28.08,High Stress
Girasol (Helianthus annuus),391.66,68.61,18.74,High Stress
Girasol (Helianthus annuus),560.85,66.45,19.12,Healthy
Girasol (Helianthus annuus),959.99,62.87,19.96,Healthy
Girasol (Helianthus annuus),982.28,68.42,22.68,High Stress
Girasol (Helianthus annuus),357.98,64.86,22.27,High Stress
Girasol (Helianthus annuus),757.14,63.09,25.12,Healthy
Girasol (Helianthus annuus),407.85,50.25,29.06,Healthy
Girasol (Helianthus annuus),387.79,61.51,22.53,High Stress
Girasol (Helianthus annuus),557.37,69.63,26.35,Healthy
Girasol (Helianthus annuus),387.62,63.92,21.69,Healthy
Girasol (Helianthus annuus),914.12,61.37,29.69,Moderate Stress
Girasol (Helianthus annuus),868.14,42.63,23.0,Healthy
Girasol (Helianthus annuus),282.2,64.13,25.49,High Stress
Girasol (Helianthus annuus),492.03,41.03,21.71,Moderate Stress
Girasol (Helianthus annuus),576.08,50.51,26.34,Healthy
Girasol (Helianthus annuus),549.19,61.09,19.85,Healthy
Girasol (Helianthus annuus),253.2,68.42,25.84,Healthy
Girasol (Helianthus annuus),762.3,47.56,21.46,Healthy
Girasol (Helianthus annuus),365.65,64.34,22.8,High Stress
Girasol (Helianthus annuus),895.46,66.85,20.1,High Stress
Girasol (Helianthus annuus),267.33,49.32,20.62,Moderate Stress
Girasol (Helianthus annuus),695.71,48.71,29.16,High Stress
Girasol (Helianthus annuus),410.61,61.31,24.55,Moderate Stress
Girasol (Helianthus annuus),524.48,64.57,21.57,Moderate Stress
Girasol (Helianthus annuus),941.47,40.12,19.9,High Stress
Girasol (Helianthus annuus),360.07,63.31,25.62,High Stress
Girasol (Helianthus annuus),333.33,65.95,21.57,Healthy
Girasol (Helianthus annuus),577.15,61.48,22.98,High Stress
Girasol (Helianthus annuus),307.99,65.89,18.11,High Stress
Girasol (Helianthus annuus),467.85,60.85,24.42,Moderate Stress
Girasol (Helianthus annuus),712.78,46.63,29.77,Healthy
Girasol (Helianthus annuus),604.16,60.88,18.47,High Stress
Girasol (Helianthus annuus),833.04,53.72,18.11,High Stress
Girasol (Helianthus annuus),688.46,54.58,29.03,High Stress
Girasol (Helianthus annuus),556.7,54.62,19.53,Healthy
Girasol (Helianthus annuus),764.11,40.45,26.96,Moderate Stress
Girasol (Helianthus annuus),996.07,40.87,20.76,Healthy
Girasol (Helianthus annuus),457.07,65.22,26.41,High Stress
Girasol (Helianthus annuus),523.11,51.0,27.63,Moderate Stress
Girasol (Helianthus annuus),533.81,57.74,22.48,High Stress
Girasol (Helianthus annuus),658.53,40.79,25.8,Moderate Stress
Girasol (Helianthus annuus),537.19,44.84,25.87,High Stress
Girasol (Helianthus annuus),557.27,49.14,29.03,Moderate Stress
Girasol (Helianthus annuus),639.02,63.86,23.66,Healthy
Girasol (Helianthus annuus),809.5,45.64,25.27,High Stress
Girasol (Helianthus annuus),855.97,41.42,18.93,High Stress
Girasol (Helianthus annuus),561.35,51.02,19.55,Moderate Stress
Girasol (Helianthus annuus),627.8,46.67,21.1,High Stress
Girasol (Helianthus annuus),493.75,43.13,19.38,High Stress
Girasol (Helianthus annuus),584.7,53.33,23.04,Moderate Stress
